20150201 170000,1.131050,1.131170,1.130760,1.130840,0
20150201 170100,1.131070,1.131730,1.130840,1.131040,0
20150201 170200,1.131140,1.131140,1.131040,1.131050,0
20150201 170300,1.131040,1.131040,1.131040,1.131040,0
20150201 170400,1.131040,1.131040,1.131030,1.131030,0
20150201 170500,1.131080,1.131080,1.130950,1.131040,0
20150201 170600,1.131040,1.131040,1.130820,1.130940,0
20150201 170700,1.130910,1.130980,1.130840,1.130940,0
20150201 170800,1.131030,1.131030,1.130680,1.130830,0
20150201 170900,1.130810,1.131040,1.130810,1.131040,0
20150201 171000,1.131040,1.131060,1.131030,1.131030,0
20150201 171100,1.131030,1.131040,1.131030,1.131040,0
20150201 171200,1.131050,1.131060,1.131050,1.131050,0
20150201 171300,1.131030,1.131050,1.131030,1.131050,0
20150201 171400,1.131100,1.131220,1.131050,1.131220,0
20150201 171500,1.131220,1.131310,1.131070,1.131090,0
20150201 171600,1.131080,1.131260,1.131010,1.131230,0
20150201 171700,1.131230,1.131240,1.131120,1.131240,0
20150201 171800,1.131240,1.131250,1.131240,1.131240,0
20150201 171900,1.131230,1.131280,1.131230,1.131240,0
20150201 172000,1.131230,1.131280,1.131230,1.131280,0
20150201 172100,1.131280,1.131300,1.131280,1.131300,0
20150201 172200,1.131300,1.131310,1.131260,1.131260,0
20150201 172300,1.131240,1.131240,1.131170,1.131170,0
20150201 172400,1.131170,1.131170,1.130810,1.130820,0
20150201 172500,1.130840,1.131020,1.130800,1.130990,0
20150201 172600,1.130840,1.130920,1.130640,1.130740,0
20150201 172700,1.130740,1.130740,1.130520,1.130540,0
20150201 172800,1.130520,1.130540,1.130440,1.130540,0
20150201 172900,1.130570,1.130590,1.130570,1.130590,0
20150201 173000,1.130610,1.130870,1.130610,1.130870,0
20150201 173100,1.130860,1.131000,1.130800,1.131000,0
20150201 173200,1.131020,1.131440,1.130990,1.130990,0
20150201 173300,1.130990,1.130990,1.130820,1.130830,0
20150201 173400,1.130840,1.131050,1.130840,1.131050,0
20150201 173500,1.131050,1.131140,1.130840,1.131140,0
20150201 173600,1.131290,1.131740,1.131120,1.131650,0
20150201 173700,1.131640,1.131930,1.131630,1.131860,0
20150201 173800,1.131840,1.131880,1.131590,1.131660,0
20150201 173900,1.131640,1.131740,1.131410,1.131730,0
20150201 174000,1.131740,1.131810,1.131730,1.131800,0
20150201 174100,1.131790,1.131890,1.131220,1.131780,0
20150201 174200,1.131770,1.131780,1.131690,1.131700,0
20150201 174300,1.131700,1.131730,1.131540,1.131730,0
20150201 174400,1.131730,1.131730,1.131220,1.131240,0
20150201 174500,1.131230,1.131540,1.131210,1.131530,0
20150201 174600,1.131510,1.131560,1.130910,1.131090,0
20150201 174700,1.131100,1.131200,1.131100,1.131180,0
20150201 174800,1.131180,1.131180,1.131170,1.131170,0
20150201 174900,1.131170,1.131170,1.130840,1.130840,0
20150201 175000,1.130850,1.131220,1.130710,1.131030,0
20150201 175100,1.131010,1.131160,1.130660,1.131030,0
20150201 175200,1.131030,1.131220,1.130970,1.131150,0
20150201 175300,1.131190,1.131230,1.131090,1.131230,0
20150201 175400,1.131240,1.131270,1.131230,1.131230,0
20150201 175500,1.131230,1.131310,1.131180,1.131250,0
20150201 175600,1.131250,1.131250,1.131180,1.131190,0
20150201 175700,1.131210,1.131470,1.131210,1.131260,0
20150201 175800,1.131270,1.131270,1.131150,1.131160,0
20150201 175900,1.131170,1.131190,1.131150,1.131160,0
20150201 180000,1.131160,1.131190,1.130980,1.131110,0
20150201 180100,1.131130,1.131130,1.130900,1.130950,0
20150201 180200,1.130970,1.131120,1.130890,1.131050,0
20150201 180300,1.131060,1.131410,1.131060,1.131240,0
20150201 180400,1.131290,1.131290,1.130990,1.131040,0
20150201 180500,1.131050,1.131090,1.130920,1.131050,0
20150201 180600,1.131050,1.131050,1.130530,1.130580,0
20150201 180700,1.130620,1.130770,1.130510,1.130750,0
20150201 180800,1.130730,1.130760,1.130720,1.130750,0
20150201 180900,1.130750,1.130770,1.130640,1.130730,0
20150201 181000,1.130730,1.130890,1.130700,1.130830,0
20150201 181100,1.130830,1.131020,1.130830,1.131020,0
20150201 181200,1.130990,1.130990,1.130880,1.130930,0
20150201 181300,1.130930,1.131090,1.130930,1.131040,0
20150201 181400,1.131020,1.131160,1.131010,1.131120,0
20150201 181500,1.131130,1.131170,1.131050,1.131150,0
20150201 181600,1.131130,1.131140,1.131050,1.131130,0
20150201 181700,1.131130,1.131160,1.131010,1.131070,0
20150201 181800,1.131080,1.131090,1.130950,1.130980,0
20150201 181900,1.130990,1.130990,1.130970,1.130990,0
20150201 182000,1.131010,1.131100,1.130980,1.131040,0
20150201 182100,1.131050,1.131180,1.131040,1.131180,0
20150201 182200,1.131170,1.131270,1.131120,1.131240,0
20150201 182300,1.131240,1.131270,1.131110,1.131110,0
20150201 182400,1.131120,1.131200,1.131090,1.131090,0
20150201 182500,1.131100,1.131110,1.130800,1.130810,0
20150201 182600,1.130810,1.130840,1.130770,1.130830,0
20150201 182700,1.130820,1.130840,1.130800,1.130840,0
20150201 182800,1.130860,1.130920,1.130820,1.130830,0
20150201 182900,1.130830,1.130840,1.130740,1.130760,0
20150201 183000,1.130740,1.130890,1.130530,1.130860,0
20150201 183100,1.130830,1.130830,1.130510,1.130510,0
20150201 183200,1.130520,1.130690,1.130370,1.130400,0
20150201 183300,1.130340,1.130340,1.130060,1.130070,0
20150201 183400,1.130080,1.130310,1.130080,1.130310,0
20150201 183500,1.130320,1.130340,1.130290,1.130320,0
20150201 183600,1.130280,1.130280,1.130200,1.130210,0
20150201 183700,1.130210,1.130250,1.130090,1.130110,0
20150201 183800,1.130110,1.130130,1.130040,1.130120,0
20150201 183900,1.130120,1.130230,1.130120,1.130230,0
20150201 184000,1.130220,1.130300,1.130220,1.130290,0
20150201 184100,1.130300,1.130450,1.130300,1.130450,0
20150201 184200,1.130440,1.130460,1.130440,1.130460,0
20150201 184300,1.130470,1.130630,1.130470,1.130630,0
20150201 184400,1.130620,1.130650,1.130620,1.130630,0
20150201 184500,1.130640,1.130640,1.130610,1.130640,0
20150201 184600,1.130690,1.130900,1.130690,1.130900,0
20150201 184700,1.130890,1.130900,1.130720,1.130840,0
20150201 184800,1.130810,1.130840,1.130510,1.130510,0
20150201 184900,1.130510,1.130510,1.130380,1.130380,0
20150201 185000,1.130380,1.130440,1.130380,1.130400,0
20150201 185100,1.130410,1.130430,1.130390,1.130410,0
20150201 185200,1.130420,1.130480,1.130420,1.130480,0
20150201 185300,1.130480,1.130650,1.130480,1.130640,0
20150201 185400,1.130630,1.130630,1.130580,1.130600,0
20150201 185500,1.130610,1.130650,1.130610,1.130650,0
20150201 185600,1.130650,1.130740,1.130650,1.130740,0
20150201 185700,1.130740,1.130740,1.130700,1.130730,0
20150201 185800,1.130790,1.130840,1.130720,1.130770,0
20150201 185900,1.130760,1.130770,1.130710,1.130720,0
20150201 190000,1.130720,1.130720,1.130310,1.130310,0
20150201 190100,1.130300,1.130600,1.130130,1.130590,0
20150201 190200,1.130540,1.130740,1.130510,1.130710,0
20150201 190300,1.130740,1.130750,1.130600,1.130610,0
20150201 190400,1.130610,1.130610,1.130510,1.130520,0
20150201 190500,1.130510,1.130570,1.130510,1.130520,0
20150201 190600,1.130530,1.130530,1.130520,1.130520,0
20150201 190700,1.130520,1.130520,1.130520,1.130520,0
20150201 190800,1.130520,1.130540,1.130500,1.130540,0
20150201 190900,1.130540,1.130540,1.130420,1.130420,0
20150201 191000,1.130430,1.130550,1.130420,1.130520,0
20150201 191100,1.130520,1.130550,1.130520,1.130530,0
20150201 191200,1.130530,1.130730,1.130530,1.130730,0
20150201 191300,1.130710,1.130730,1.130710,1.130730,0
20150201 191400,1.130720,1.130740,1.130720,1.130730,0
20150201 191500,1.130720,1.130730,1.130620,1.130630,0
20150201 191600,1.130630,1.130630,1.130600,1.130620,0
20150201 191700,1.130620,1.130620,1.130570,1.130610,0
20150201 191800,1.130620,1.130640,1.130510,1.130530,0
20150201 191900,1.130530,1.130660,1.130530,1.130660,0
20150201 192000,1.130640,1.130640,1.130540,1.130640,0
20150201 192100,1.130640,1.130650,1.130630,1.130640,0
20150201 192200,1.130620,1.130650,1.130620,1.130640,0
20150201 192300,1.130650,1.130680,1.130630,1.130650,0
20150201 192400,1.130640,1.130640,1.130640,1.130640,0
20150201 192500,1.130650,1.130740,1.130640,1.130720,0
20150201 192600,1.130700,1.130700,1.130620,1.130630,0
20150201 192700,1.130650,1.130660,1.130650,1.130650,0
20150201 192800,1.130630,1.130760,1.130630,1.130760,0
20150201 192900,1.130800,1.130850,1.130800,1.130850,0
20150201 193000,1.130840,1.130850,1.130760,1.130800,0
20150201 193100,1.130800,1.130830,1.130790,1.130830,0
20150201 193200,1.130830,1.130840,1.130810,1.130830,0
20150201 193300,1.130850,1.130860,1.130850,1.130850,0
20150201 193400,1.130830,1.130960,1.130830,1.130940,0
20150201 193500,1.130950,1.130970,1.130940,1.130950,0
20150201 193600,1.130960,1.130960,1.130780,1.130840,0
20150201 193700,1.130830,1.130900,1.130780,1.130820,0
20150201 193800,1.130830,1.130830,1.130710,1.130740,0
20150201 193900,1.130720,1.130770,1.130620,1.130740,0
20150201 194000,1.130740,1.130760,1.130720,1.130720,0
20150201 194100,1.130730,1.130730,1.130660,1.130660,0
20150201 194200,1.130700,1.130940,1.130700,1.130930,0
20150201 194300,1.130930,1.130970,1.130910,1.130920,0
20150201 194400,1.130920,1.130930,1.130910,1.130930,0
20150201 194500,1.130940,1.130940,1.130930,1.130940,0
20150201 194600,1.130940,1.130940,1.130940,1.130940,0
20150201 194700,1.130970,1.131040,1.130970,1.131030,0
20150201 194800,1.131030,1.131110,1.131020,1.131070,0
20150201 194900,1.131110,1.131140,1.131090,1.131140,0
20150201 195000,1.131130,1.131170,1.131130,1.131160,0
20150201 195100,1.131170,1.131170,1.131150,1.131160,0
20150201 195200,1.131150,1.131240,1.131130,1.131160,0
20150201 195300,1.131140,1.131140,1.131010,1.131040,0
20150201 195400,1.131040,1.131060,1.130910,1.130910,0
20150201 195500,1.130950,1.130950,1.130620,1.130630,0
20150201 195600,1.130680,1.130720,1.130640,1.130720,0
20150201 195700,1.130700,1.130720,1.130700,1.130710,0
20150201 195800,1.130710,1.130720,1.130620,1.130620,0
20150201 195900,1.130620,1.130810,1.130610,1.130810,0
20150201 200000,1.130840,1.131140,1.130840,1.131010,0
20150201 200100,1.131030,1.131240,1.130950,1.131220,0
20150201 200200,1.131240,1.131240,1.131130,1.131130,0
20150201 200300,1.131130,1.131330,1.131130,1.131240,0
20150201 200400,1.131250,1.131410,1.131220,1.131410,0
20150201 200500,1.131390,1.131430,1.131370,1.131420,0
20150201 200600,1.131410,1.131430,1.131390,1.131410,0
20150201 200700,1.131420,1.131440,1.131410,1.131430,0
20150201 200800,1.131430,1.131490,1.131220,1.131250,0
20150201 200900,1.131250,1.131300,1.131130,1.131270,0
